Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6498422048835245,65,median,3.4336685157852123,validation,19.325028769738093,0.6492726236292788,Age,Life style (LS),third
RandomForest,no,0.6731254407220195,66,median,3.3039904988123516,validation,16.447987800475055,0.6725217587245855,Age,Life style (LS),third
RandomForest,no,0.6929775903222509,67,median,3.4105558194774352,validation,18.125930527315926,0.6919555252077771,Age,Life style (LS),third
RandomForest,no,0.6549389560895302,68,median,3.5616031483661468,validation,19.870980820072912,0.6543534377447462,Age,Life style (LS),third
RandomForest,no,0.6844080278195384,69,median,3.4377849163969647,validation,18.173996816088646,0.6843817270041129,Age,Life style (LS),third
RandomForest,no,0.6957131584187275,70,median,3.4799220200114416,validation,18.532619229603398,0.6953658778623604,Age,Life style (LS),third
RandomForest,no,0.6734485777368406,71,median,3.4555835350540463,validation,18.584712054522285,0.6730680336463215,Age,Life style (LS),third
RandomForest,no,0.6876657482989187,72,median,3.5122660332541566,validation,19.210100902612826,0.6873230485037997,Age,Life style (LS),third
RandomForest,no,0.6922307765981226,73,median,3.360038004750594,validation,17.45244336342043,0.6921586993155673,Age,Life style (LS),third
RandomForest,no,0.6710482385233866,74,median,3.4132877790258545,validation,18.268730210163643,0.6710407091469656,Age,Life style (LS),third
RandomForest,no,0.6625962994887478,75,median,3.3542802850356286,validation,18.091324351543946,0.6625338469299287,Age,Life style (LS),third
RandomForest,no,0.6271941554875765,76,median,3.4901394054611288,validation,20.35482818679691,0.6263795085153511,Age,Life style (LS),third
RandomForest,no,0.655226832032302,77,median,3.6413105970657282,validation,20.204645109744266,0.6546908386645947,Age,Life style (LS),third
RandomForest,no,0.6379602719209471,78,median,3.5630308788598577,validation,19.669305501187647,0.6375430481610719,Age,Life style (LS),third
RandomForest,no,0.6981149157737117,79,median,3.3515232365914973,validation,17.39800902952566,0.6972662509709758,Age,Life style (LS),third
RandomForest,no,0.6553530349251897,80,median,3.5604938600503835,validation,19.549872454640287,0.6552001753202424,Age,Life style (LS),third
RandomForest,no,0.6762495062450373,81,median,3.4368269438506847,validation,18.810104918246488,0.6756997078296209,Age,Life style (LS),third
RandomForest,no,0.6566590757875383,82,median,3.5502515217948534,validation,19.589814212651945,0.6557163750008782,Age,Life style (LS),third
RandomForest,no,0.6637623144170626,83,median,3.49582280862366,validation,19.79766079585864,0.6637619074563761,Age,Life style (LS),third
RandomForest,no,0.6787437274652359,84,median,3.6046460807600953,validation,19.192529444180526,0.6787335831267711,Age,Life style (LS),third
RandomForest,no,0.6422699924310218,85,median,3.426635165366072,validation,18.18921682645449,0.6422550678756762,Age,Life style (LS),third
RandomForest,no,0.6927501428429087,86,median,3.2559455097256804,validation,16.881842760947087,0.6901885452315811,Age,Life style (LS),third
RandomForest,no,0.6329786786506173,87,median,3.6125605700712575,validation,20.669252864608072,0.6323814883989769,Age,Life style (LS),third
RandomForest,no,0.659139964328552,88,median,3.415334916864608,validation,18.47806928266033,0.6555333827957668,Age,Life style (LS),third
