Estimator,Permuted,ev,fold,mae,modality,model_testing,mse,r2_score,target
RandomForest,no,0.5040148845483466,46,4.016135048115918,"sMRI, dMRI, fMRI (full MRI)",generalization,24.526806521786646,0.5039679645825869,Age
RandomForest,no,0.4934103078085356,47,4.1138054862842885,"sMRI, dMRI, fMRI (full MRI)",validation,25.825191461346638,0.4923470822358497,Age
RandomForest,no,0.4954846528734802,47,4.058738522954092,"sMRI, dMRI, fMRI (full MRI)",generalization,24.94960735329341,0.4954172078078642,Age
RandomForest,no,0.5229076572957587,48,4.090194513715711,"sMRI, dMRI, fMRI (full MRI)",validation,25.36408770074813,0.5228515276362273,Age
RandomForest,no,0.5033258749410048,48,4.028079840319362,"sMRI, dMRI, fMRI (full MRI)",generalization,24.558607560878247,0.5033248179040748,Age
RandomForest,no,0.4933653671280383,49,4.052817955112219,"sMRI, dMRI, fMRI (full MRI)",validation,25.042272518703236,0.4932276187544504,Age
RandomForest,no,0.5067282691017013,49,4.01189121756487,"sMRI, dMRI, fMRI (full MRI)",generalization,24.39450160079841,0.506643709555551,Age
RandomForest,no,0.4149466822130961,50,4.394571653850104,"sMRI, dMRI, fMRI (full MRI)",validation,29.27832830313572,0.414223021823807,Age
RandomForest,no,0.5072962840645463,50,3.9970254975510993,"sMRI, dMRI, fMRI (full MRI)",generalization,24.362236602117964,0.5072962393887352,Age
RandomForest,no,0.4413636689155095,51,4.225665835411471,"sMRI, dMRI, fMRI (full MRI)",validation,27.02802661346633,0.4379659873231996,Age
RandomForest,no,0.5016093392223286,51,4.026299401197605,"sMRI, dMRI, fMRI (full MRI)",generalization,24.647910251497002,0.5015187533698874,Age
RandomForest,no,0.452056662339631,52,4.058928999497248,"sMRI, dMRI, fMRI (full MRI)",validation,25.784189204175096,0.4490050613717053,Age
RandomForest,no,0.5030986547444509,52,4.028835721067152,"sMRI, dMRI, fMRI (full MRI)",generalization,24.572817370893315,0.5030374376053632,Age
RandomForest,no,0.4958958336397248,53,4.289674486690654,"sMRI, dMRI, fMRI (full MRI)",validation,27.00869669849608,0.495471533537428,Age
RandomForest,no,0.5040629620085638,53,4.020630922929498,"sMRI, dMRI, fMRI (full MRI)",generalization,24.522318239129767,0.5040587359587886,Age
