,Data type,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
103,Imaging & Non-imaging,RandomForest,no,0.6676428269946975,51,median,3.2164451852302607,generalization,16.434362109237412,0.6676301873792407,Age,Life style (LS)
104,Imaging & Non-imaging,RandomForest,no,0.6413862679222847,52,median,3.2190324189526183,validation,16.92707894264339,0.6382769786048628,Age,Life style (LS)
105,Imaging & Non-imaging,RandomForest,no,0.6690084596536807,52,median,3.2096047904191614,generalization,16.370769772455088,0.6689162837254186,Age,Life style (LS)
106,Imaging & Non-imaging,RandomForest,no,0.6646538226505121,53,median,3.428259351620948,validation,17.96499323690773,0.6644099273278805,Age,Life style (LS)
107,Imaging & Non-imaging,RandomForest,no,0.6689408965102186,53,median,3.2168443113772462,generalization,16.37063755688623,0.6689189576633272,Age,Life style (LS)
108,Imaging & Non-imaging,RandomForest,no,0.6852559781211215,54,median,3.2394613466334157,validation,15.762322513715713,0.6849196321006905,Age,Life style (LS)
109,Imaging & Non-imaging,RandomForest,no,0.6728433441246763,54,median,3.1947445109780435,generalization,16.176592295409186,0.672843344065938,Age,Life style (LS)
110,Imaging & Non-imaging,RandomForest,no,0.6905333691219764,55,median,3.379690773067331,validation,17.08434952618454,0.6905284858250631,Age,Life style (LS)
111,Imaging & Non-imaging,RandomForest,no,0.6717897785014252,55,median,3.1926357285429137,generalization,16.2293273253493,0.6717768267345537,Age,Life style (LS)
112,Imaging & Non-imaging,RandomForest,no,0.6420487490011149,56,median,3.2125294825909725,validation,16.793280658254368,0.6420478052597907,Age,Life style (LS)
113,Imaging & Non-imaging,RandomForest,no,0.6721398026666112,56,median,3.1947644093715515,generalization,16.213303725014626,0.6721008892692202,Age,Life style (LS)
114,Imaging & Non-imaging,RandomForest,no,0.6700303374728687,57,median,3.1122318203647064,validation,15.85610418400483,0.669294477103701,Age,Life style (LS)
115,Imaging & Non-imaging,RandomForest,no,0.6700411071534618,57,median,3.1994637909663943,generalization,16.31815326106078,0.6699804041285498,Age,Life style (LS)
116,Imaging & Non-imaging,RandomForest,no,0.6798651021728463,58,median,3.2637605985037412,validation,17.243472438902742,0.6791223890607787,Age,Life style (LS)
117,Imaging & Non-imaging,RandomForest,no,0.6733747730217707,58,median,3.1902185628742523,generalization,16.150327141716563,0.6733745325692242,Age,Life style (LS)
118,Imaging & Non-imaging,RandomForest,no,0.6495798028326385,59,median,3.365777172746677,validation,17.621745278957587,0.6454272634400109,Age,Life style (LS)
119,Imaging & Non-imaging,RandomForest,no,0.6689729506352027,59,median,3.204388928470283,generalization,16.370888049059445,0.6689138916902082,Age,Life style (LS)
120,Imaging & Non-imaging,RandomForest,no,0.679694473792833,60,median,3.2940072106457863,validation,16.575545352195633,0.6796936116467422,Age,Life style (LS)
121,Imaging & Non-imaging,RandomForest,no,0.671463362536724,60,median,3.1974748887510454,generalization,16.24543828521272,0.6714509974340093,Age,Life style (LS)
122,Imaging & Non-imaging,RandomForest,no,0.6258267250623186,61,median,3.5067363583531432,validation,18.588980842269134,0.6254827911791443,Age,Life style (LS)
