Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
RandomForest,no,0.6682065597797198,39,median,3.116524689012847,validation,15.664446875416145,0.666262194300913,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6682435917604443,39,median,3.2096839680275084,generalization,16.404405447141837,0.668236033234484,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6866798612420411,40,median,3.336189526184538,validation,16.615949446384032,0.6861607946877608,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6724485803247711,40,median,3.201177644710578,generalization,16.196120095808382,0.6724484123176635,Age,"EL, EDU, LS, MH"
RandomForest,no,0.7003663519332999,41,median,3.196468827930175,validation,15.4909697755611,0.699842986913396,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6741800034045861,41,median,3.186334331337325,generalization,16.11067730538922,0.6741764139311517,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6522694905603073,42,median,3.341406483790524,validation,17.66333127182045,0.6521616098129697,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6734887850457856,42,median,3.186185628742515,generalization,16.145300518962078,0.6734761913772704,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6366251191399848,43,median,3.4586433915211976,validation,18.466980269326687,0.6365306592064384,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6734709240010384,43,median,3.1878433133732536,generalization,16.146061576846307,0.6734607996836536,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6441948598861951,44,median,3.2301950811316185,validation,15.936343816786303,0.6423534096600985,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6692297044992376,44,median,3.210372069700796,generalization,16.35532338560827,0.6692286726497847,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6882031139187004,45,median,3.1854862842892766,validation,15.339421645885286,0.6859801728755299,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6728016878282077,45,median,3.187120758483034,generalization,16.178851764471062,0.6727976483885685,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6885744027099456,46,median,3.098100682145334,validation,14.667138010586285,0.6885389175082002,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6743531600403863,46,median,3.183120808851416,generalization,16.103431663751444,0.6743229503490216,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6683164872676421,47,median,3.3203400154424934,validation,16.938503416300794,0.6670351623641072,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6682134698660526,47,median,3.208513081453648,generalization,16.406559959309117,0.6681924602134828,Age,"EL, EDU, LS, MH"
RandomForest,no,0.7178663768644769,48,median,3.12036112732448,validation,15.008501567124732,0.7176605096263082,Age,"EL, EDU, LS, MH"
