,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
91,RandomForest,no,0.02307779348205252,45,median,5.865429226015105,generalization,48.336630604137795,0.02243623757164404,Age,Early Life (EL)
92,RandomForest,no,0.017580844155619998,46,median,5.743846166239692,validation,46.32037583586885,0.016372901867169776,Age,Early Life (EL)
93,RandomForest,no,0.020951712211340182,46,median,5.885439938761591,generalization,48.419335544010934,0.02076360645972497,Age,Early Life (EL)
94,RandomForest,no,0.03936233962430536,47,median,5.934064573101734,validation,48.88626609044077,0.039029172095329634,Age,Early Life (EL)
95,RandomForest,no,0.02529563136822976,47,median,5.8780565189908565,generalization,48.21184138439509,0.02495998442030667,Age,Early Life (EL)
96,RandomForest,no,0.020288370514982224,48,median,6.125516433745136,validation,52.147907060538756,0.01899510502914159,Age,Early Life (EL)
97,RandomForest,no,0.0231708289202518,48,median,5.876667098106158,generalization,48.32572314063083,0.022656830958711738,Age,Early Life (EL)
98,RandomForest,no,0.03460651045593044,49,median,5.807901353984473,validation,47.71360307068539,0.034435224364042234,Age,Early Life (EL)
99,RandomForest,no,0.02382620052668638,49,median,5.875745668748612,generalization,48.28501623298935,0.023480090612797436,Age,Early Life (EL)
100,RandomForest,no,0.00590496079925984,50,median,5.970574726523452,validation,49.76951757938723,0.0042519739824772316,Age,Early Life (EL)
101,RandomForest,no,0.02200164143800698,50,median,5.878365962756102,generalization,48.385877435178756,0.021440265845059314,Age,Early Life (EL)
102,RandomForest,no,0.03473189544122568,51,median,5.8361510594846555,validation,46.49830195602857,0.033091553269984364,Age,Early Life (EL)
103,RandomForest,no,0.023347640068924203,51,median,5.883138556563972,generalization,48.30183877952538,0.023139870128252804,Age,Early Life (EL)
104,RandomForest,no,0.04050210211310157,52,median,5.6136881375307945,validation,45.09980456023421,0.036240238192537744,Age,Early Life (EL)
105,RandomForest,no,0.02413392548812754,52,median,5.8789738165247725,generalization,48.25934402183471,0.023999287400254917,Age,Early Life (EL)
106,RandomForest,no,0.06502566912966422,53,median,6.0803767207798805,validation,50.06473260963273,0.06477965044484303,Age,Early Life (EL)
107,RandomForest,no,0.024901249990108343,53,median,5.877558191936755,generalization,48.227484562270135,0.024643615578938797,Age,Early Life (EL)
108,RandomForest,no,0.07926965061422953,54,median,5.704981137715555,validation,46.060971699363286,0.07926589522536798,Age,Early Life (EL)
109,RandomForest,no,0.02630556152235075,54,median,5.861781404715872,generalization,48.16610774380661,0.02588490511098052,Age,Early Life (EL)
110,RandomForest,no,0.017809535271074206,55,median,6.323187393093844,validation,54.30236534809529,0.016349132766264596,Age,Early Life (EL)
111,RandomForest,no,0.02417016960826146,55,median,5.870768569323169,generalization,48.27562158584335,0.023670088684569213,Age,Early Life (EL)
112,RandomForest,no,0.033376296615667767,56,median,5.7202760951055165,validation,45.34905690067024,0.03337562342146205,Age,Early Life (EL)
113,RandomForest,no,0.024820912779346168,56,median,5.874257000168142,generalization,48.23542958439729,0.024482934835864056,Age,Early Life (EL)
114,RandomForest,no,0.03064884651974087,57,median,5.816211432243378,validation,46.67381720122986,0.026539625119917032,Age,Early Life (EL)
115,RandomForest,no,0.025670454301481738,57,median,5.861504622354549,generalization,48.188224003084095,0.025437624169799555,Age,Early Life (EL)
116,RandomForest,no,0.036140929915636784,58,median,6.182432743781997,validation,51.82872402057724,0.03553781289255653,Age,Early Life (EL)
117,RandomForest,no,0.023217441540603456,58,median,5.861371011260643,generalization,48.32186503041731,0.022734857678593845,Age,Early Life (EL)
118,RandomForest,no,0.052947613319222715,59,median,5.7379091583860005,validation,47.07522159282384,0.05278450686339542,Age,Early Life (EL)
119,RandomForest,no,0.024149370717558738,59,median,5.868922813276494,generalization,48.26607886252585,0.023863081460306246,Age,Early Life (EL)
120,RandomForest,no,0.0392644329138081,60,median,5.9562736024358465,validation,49.85402615282322,0.036619144493822975,Age,Early Life (EL)
121,RandomForest,no,0.023746156538916208,60,median,5.873964273623687,generalization,48.29689869590497,0.023239778762146446,Age,Early Life (EL)
122,RandomForest,no,0.0458162770068925,61,median,5.72973118618433,validation,47.40874244513679,0.04484328404460946,Age,Early Life (EL)
123,RandomForest,no,0.024657087081520142,61,median,5.865183310189762,generalization,48.256930019162205,0.024048108377338732,Age,Early Life (EL)
124,RandomForest,no,0.049449838662606334,62,median,5.631640608782057,validation,44.50045417477626,0.048896879955814036,Age,Early Life (EL)
125,RandomForest,no,0.02734283255508441,62,median,5.869001466068075,generalization,48.120668558081114,0.02680387072369117,Age,Early Life (EL)
126,RandomForest,no,0.044814000296187866,63,median,5.805396001942358,validation,45.898719268075936,0.041636568760101585,Age,Early Life (EL)
127,RandomForest,no,0.02380295540205002,63,median,5.884898312048732,generalization,48.27721076781654,0.023637948945214537,Age,Early Life (EL)
128,RandomForest,no,0.06389135868393514,64,median,5.843487942299394,validation,47.93921094653478,0.06348990613196093,Age,Early Life (EL)
129,RandomForest,no,0.02502377922451482,64,median,5.86652983086059,generalization,48.221430011560535,0.024766063281592143,Age,Early Life (EL)
130,RandomForest,no,0.04103849944299165,65,median,5.8440863957943785,validation,47.46982924490134,0.040279319900851866,Age,Early Life (EL)
131,RandomForest,no,0.023635681291282015,65,median,5.858365963182867,generalization,48.306883857006376,0.023037838090387952,Age,Early Life (EL)
132,RandomForest,no,0.04475673063479435,66,median,5.908322539301786,validation,49.65247604129455,0.03674552785981211,Age,Early Life (EL)
133,RandomForest,no,0.02425362971247313,66,median,5.8552937204976025,generalization,48.29576432586789,0.0232627203496667,Age,Early Life (EL)
134,RandomForest,no,0.045288792541719684,67,median,5.898689369516079,validation,48.431717511313046,0.04489620275613071,Age,Early Life (EL)
135,RandomForest,no,0.0253320343437069,67,median,5.8603208383722425,generalization,48.21892221581106,0.02481678113713204,Age,Early Life (EL)
136,RandomForest,no,0.04040415004447073,68,median,5.7088510311377965,validation,45.72312820949256,0.03910272217616728,Age,Early Life (EL)
137,RandomForest,no,0.024597620794834518,68,median,5.8780825672515045,generalization,48.24063078005051,0.02437774545198812,Age,Early Life (EL)
138,RandomForest,no,0.0311524318106825,69,median,5.7583333879596825,validation,46.74974709901221,0.01975432157568047,Age,Early Life (EL)
139,RandomForest,no,0.02571683112412371,69,median,5.865322682318735,generalization,48.17959918001997,0.025612053259693842,Age,Early Life (EL)
140,RandomForest,no,0.053024469617685366,70,median,5.9885743725552265,validation,50.595025968663634,0.04989203833314071,Age,Early Life (EL)
141,RandomForest,no,0.023390596127625615,70,median,5.878135980634516,generalization,48.32012181134986,0.022770112676077536,Age,Early Life (EL)
142,RandomForest,no,0.052323499178259285,71,median,5.911632793668864,validation,49.014886773325,0.04969140602883293,Age,Early Life (EL)
143,RandomForest,no,0.02655548290342924,71,median,5.852826687227568,generalization,48.16621795830414,0.025882676124443168,Age,Early Life (EL)
144,RandomForest,no,0.03472208959087186,72,median,5.791159910668358,validation,47.70292519580965,0.03429594633887145,Age,Early Life (EL)
145,RandomForest,no,0.026707131535105618,72,median,5.854719193476203,generalization,48.154871342250594,0.02611215096663844,Age,Early Life (EL)
146,RandomForest,no,0.02056183096730857,73,median,5.757087198023847,validation,48.09016646027403,0.017632324300875912,Age,Early Life (EL)
147,RandomForest,no,0.02446449922683247,73,median,5.858074234719749,generalization,48.27237826194802,0.023735681918318874,Age,Early Life (EL)
148,RandomForest,no,0.0317346510497043,74,median,5.625570628960007,validation,45.761777754183655,0.029412574575892195,Age,Early Life (EL)
149,RandomForest,no,0.022176607768272127,74,median,5.869744786446464,generalization,48.37507836858472,0.02165866700456165,Age,Early Life (EL)
