,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
17,RandomForest,no,0.6153811184448853,8,median,3.474181333997337,generalization,19.02063036774481,0.6153252977368273,Age,"EL, EDU, LS, MH"
18,RandomForest,no,0.5523549016195879,9,median,3.6271321695760603,validation,20.91976825935162,0.5518496427804638,Age,"EL, EDU, LS, MH"
19,RandomForest,no,0.6153774364796001,9,median,3.4801786427145713,generalization,19.018059021956088,0.6153773008332846,Age,"EL, EDU, LS, MH"
20,RandomForest,no,0.6350276706597793,10,median,3.3450154613466334,validation,17.83267644169576,0.6347846780500705,Age,"EL, EDU, LS, MH"
21,RandomForest,no,0.6138622617839761,10,median,3.4907018962075846,generalization,19.093714420958086,0.6138472401821378,Age,"EL, EDU, LS, MH"
22,RandomForest,no,0.5542992178341206,11,median,3.6943259417308654,validation,22.048334740528674,0.5535743980142691,Age,"EL, EDU, LS, MH"
23,RandomForest,no,0.6125994060444214,11,median,3.4876948364729667,generalization,19.158428026315487,0.6125384672134222,Age,"EL, EDU, LS, MH"
24,RandomForest,no,0.6467058807504305,12,median,3.3005507554446423,validation,17.194090629137705,0.6454660064284341,Age,"EL, EDU, LS, MH"
25,RandomForest,no,0.6152520163201503,12,median,3.4810403974180066,generalization,19.02849478021425,0.6151662472497159,Age,"EL, EDU, LS, MH"
26,RandomForest,no,0.6032154403587191,13,median,3.664588528678304,validation,19.677816139650872,0.6032133406325138,Age,"EL, EDU, LS, MH"
27,RandomForest,no,0.6115764289071322,13,median,3.4899580838323354,generalization,19.207722467065867,0.6115415326243858,Age,"EL, EDU, LS, MH"
28,RandomForest,no,0.6427050062905679,14,median,3.4587963424388586,validation,18.117600403533913,0.641684013148253,Age,"EL, EDU, LS, MH"
29,RandomForest,no,0.6120959427060749,14,median,3.49005949829188,generalization,19.18206410774744,0.6120604492712344,Age,"EL, EDU, LS, MH"
30,RandomForest,no,0.5974433084865503,15,median,3.4497356608478795,validation,19.303099930174557,0.5973763508477004,Age,"EL, EDU, LS, MH"
31,RandomForest,no,0.6129008368983864,15,median,3.490370259481037,generalization,19.141496011976052,0.6128809015833043,Age,"EL, EDU, LS, MH"
32,RandomForest,no,0.6158941121620667,16,median,3.5438603491271827,validation,19.555824678304237,0.6150708686051634,Age,"EL, EDU, LS, MH"
33,RandomForest,no,0.6125701884648613,16,median,3.491935129740518,generalization,19.160071213572856,0.6125052352670162,Age,"EL, EDU, LS, MH"
34,RandomForest,no,0.5964184803701641,17,median,3.5666433915211964,validation,19.760260069825435,0.5962455009071379,Age,"EL, EDU, LS, MH"
35,RandomForest,no,0.6135433406225961,17,median,3.48762375249501,generalization,19.10895747305389,0.6135389635155306,Age,"EL, EDU, LS, MH"
36,RandomForest,no,0.5791048437594669,18,median,3.4738054862842893,validation,19.366345615960103,0.5777102335852774,Age,"EL, EDU, LS, MH"
37,RandomForest,no,0.6120587035852103,18,median,3.4901786427145716,generalization,19.184254047904197,0.6120161597518291,Age,"EL, EDU, LS, MH"
38,RandomForest,no,0.6088501918608669,19,median,3.5137969545113954,validation,19.211946815643977,0.6067614344541303,Age,"EL, EDU, LS, MH"
39,RandomForest,no,0.6126320714218048,19,median,3.4838626479057866,generalization,19.1537997422121,0.6126320699897255,Age,"EL, EDU, LS, MH"
40,RandomForest,no,0.5911623339168082,20,median,3.466131296989239,validation,19.691905859437725,0.5908241962249028,Age,"EL, EDU, LS, MH"
41,RandomForest,no,0.6116453382781151,20,median,3.4883980192629878,generalization,19.20456277606488,0.6116054344600006,Age,"EL, EDU, LS, MH"
42,RandomForest,no,0.5643912237980687,21,median,3.3926967124026177,validation,19.305975992286953,0.5637286920665114,Age,"EL, EDU, LS, MH"
43,RandomForest,no,0.6115862588926121,21,median,3.4882065596147585,generalization,19.205550747061263,0.6115854536580223,Age,"EL, EDU, LS, MH"
44,RandomForest,no,0.6155098611513083,22,median,3.4478270290141184,validation,18.612109524352764,0.6154741996459241,Age,"EL, EDU, LS, MH"
45,RandomForest,no,0.6137540324161589,22,median,3.4786731842983905,generalization,19.098617891915147,0.6137480720055845,Age,"EL, EDU, LS, MH"
46,RandomForest,no,0.654058086062599,23,median,3.2670623441396516,validation,17.202621725685788,0.653344648392918,Age,"EL, EDU, LS, MH"
47,RandomForest,no,0.6126182103192266,23,median,3.485103792415169,generalization,19.15766456686627,0.6125539074764756,Age,"EL, EDU, LS, MH"
48,RandomForest,no,0.6551734642054415,24,median,3.3390016860682303,validation,17.379743304343098,0.6551722308848942,Age,"EL, EDU, LS, MH"
49,RandomForest,no,0.6146295745138685,24,median,3.4734648095365084,generalization,19.05561034944443,0.6146178598767084,Age,"EL, EDU, LS, MH"
50,RandomForest,no,0.6829360579939922,25,median,3.3197265944747167,validation,17.07533799794605,0.6828293848612661,Age,"EL, EDU, LS, MH"
51,RandomForest,no,0.6122619151527342,25,median,3.4991316297513424,generalization,19.173772376631554,0.6122281418837601,Age,"EL, EDU, LS, MH"
