Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Non-imaging,47,low vs high,validation,0.7989921612541994,Neuroticism
RandomForest,no,Non-imaging,47,low vs high,generalization,0.776891332326115,Neuroticism
RandomForest,no,Non-imaging,48,low vs high,validation,0.7738788719371243,Neuroticism
RandomForest,no,Non-imaging,48,low vs high,generalization,0.7657848842631452,Neuroticism
RandomForest,no,Non-imaging,49,low vs high,validation,0.7894492430574905,Neuroticism
RandomForest,no,Non-imaging,49,low vs high,generalization,0.7648242963460355,Neuroticism
RandomForest,no,Non-imaging,50,low vs high,validation,0.7738788719371243,Neuroticism
RandomForest,no,Non-imaging,50,low vs high,generalization,0.7701289799115885,Neuroticism
RandomForest,no,Non-imaging,51,low vs high,validation,0.7945269016697588,Neuroticism
RandomForest,no,Non-imaging,51,low vs high,generalization,0.7677153861936471,Neuroticism
RandomForest,no,Non-imaging,52,low vs high,validation,0.8052444942142591,Neuroticism
RandomForest,no,Non-imaging,52,low vs high,generalization,0.7691679256896649,Neuroticism
RandomForest,no,Non-imaging,53,low vs high,validation,0.7616191904047976,Neuroticism
RandomForest,no,Non-imaging,53,low vs high,generalization,0.7720622796709753,Neuroticism
RandomForest,no,Non-imaging,54,low vs high,validation,0.7898248540450377,Neuroticism
RandomForest,no,Non-imaging,54,low vs high,generalization,0.7662703075746554,Neuroticism
RandomForest,no,Non-imaging,55,low vs high,validation,0.8040496710221481,Neuroticism
RandomForest,no,Non-imaging,55,low vs high,generalization,0.7715782552739074,Neuroticism
RandomForest,no,Non-imaging,56,low vs high,validation,0.7672222222222222,Neuroticism
RandomForest,no,Non-imaging,56,low vs high,generalization,0.7701261820827039,Neuroticism
RandomForest,no,Non-imaging,57,low vs high,validation,0.7839675195921064,Neuroticism
RandomForest,no,Non-imaging,57,low vs high,generalization,0.7672406878928617,Neuroticism
RandomForest,no,Non-imaging,58,low vs high,validation,0.7730247779336138,Neuroticism
RandomForest,no,Non-imaging,58,low vs high,generalization,0.7735082908995952,Neuroticism
RandomForest,no,Non-imaging,59,low vs high,validation,0.75,Neuroticism
RandomForest,no,Non-imaging,59,low vs high,generalization,0.7734975658888703,Neuroticism
RandomForest,no,Non-imaging,60,low vs high,validation,0.8028201571890892,Neuroticism
