,Estimator,Permuted,Type,fold,group,model_testing,roc,target
154,RandomForest,no,Non-imaging,77,low vs high,validation,0.9258087706685836,Age
155,RandomForest,no,Non-imaging,77,low vs high,generalization,0.9293627788832444,Age
156,RandomForest,no,Non-imaging,78,low vs high,validation,0.9445597709377236,Age
157,RandomForest,no,Non-imaging,78,low vs high,generalization,0.9302430605733852,Age
158,RandomForest,no,Non-imaging,79,low vs high,validation,0.92850527215731,Age
159,RandomForest,no,Non-imaging,79,low vs high,generalization,0.9319581160999144,Age
160,RandomForest,no,Non-imaging,80,low vs high,validation,0.9248540145985402,Age
161,RandomForest,no,Non-imaging,80,low vs high,generalization,0.928922638038174,Age
162,RandomForest,no,Non-imaging,81,low vs high,validation,0.9153571428571428,Age
163,RandomForest,no,Non-imaging,81,low vs high,generalization,0.9293172710294918,Age
164,RandomForest,no,Non-imaging,82,low vs high,validation,0.9282509614015098,Age
165,RandomForest,no,Non-imaging,82,low vs high,generalization,0.9316089909623486,Age
166,RandomForest,no,Non-imaging,83,low vs high,validation,0.9276850663243474,Age
167,RandomForest,no,Non-imaging,83,low vs high,generalization,0.9300610291583756,Age
168,RandomForest,no,Non-imaging,84,low vs high,validation,0.931020848310568,Age
169,RandomForest,no,Non-imaging,84,low vs high,generalization,0.9310323265560212,Age
170,RandomForest,no,Non-imaging,85,low vs high,validation,0.9462223806129724,Age
171,RandomForest,no,Non-imaging,85,low vs high,generalization,0.9314269595473392,Age
172,RandomForest,no,Non-imaging,86,low vs high,validation,0.9405457395269308,Age
173,RandomForest,no,Non-imaging,86,low vs high,generalization,0.9306832014184556,Age
174,RandomForest,no,Non-imaging,87,low vs high,validation,0.9268398268398268,Age
175,RandomForest,no,Non-imaging,87,low vs high,generalization,0.9282549579243414,Age
176,RandomForest,no,Non-imaging,88,low vs high,validation,0.9200626959247648,Age
177,RandomForest,no,Non-imaging,88,low vs high,generalization,0.9298484275820672,Age
178,RandomForest,no,Non-imaging,89,low vs high,validation,0.933965640658554,Age
179,RandomForest,no,Non-imaging,89,low vs high,generalization,0.93077421712596,Age
180,RandomForest,no,Non-imaging,90,low vs high,validation,0.9713608957795004,Age
181,RandomForest,no,Non-imaging,90,low vs high,generalization,0.9311688501172782,Age
182,RandomForest,no,Non-imaging,91,low vs high,validation,0.9367697349672272,Age
183,RandomForest,no,Non-imaging,91,low vs high,generalization,0.9310778344097737,Age
184,RandomForest,no,Non-imaging,92,low vs high,validation,0.9148094895758448,Age
185,RandomForest,no,Non-imaging,92,low vs high,generalization,0.9298029197283146,Age
186,RandomForest,no,Non-imaging,93,low vs high,validation,0.936689930209372,Age
187,RandomForest,no,Non-imaging,93,low vs high,generalization,0.9312143579710306,Age
188,RandomForest,no,Non-imaging,94,low vs high,validation,0.9198214285714288,Age
189,RandomForest,no,Non-imaging,94,low vs high,generalization,0.9310323265560212,Age
190,RandomForest,no,Non-imaging,95,low vs high,validation,0.9444998575092618,Age
191,RandomForest,no,Non-imaging,95,low vs high,generalization,0.9289987160532256,Age
192,RandomForest,no,Non-imaging,96,low vs high,validation,0.9496785714285714,Age
193,RandomForest,no,Non-imaging,96,low vs high,generalization,0.9322766710761808,Age
194,RandomForest,no,Non-imaging,97,low vs high,validation,0.9273641420624732,Age
195,RandomForest,no,Non-imaging,97,low vs high,generalization,0.9286040830619074,Age
196,RandomForest,no,Non-imaging,98,low vs high,validation,0.8901865831078194,Age
197,RandomForest,no,Non-imaging,98,low vs high,generalization,0.9305317401647454,Age
198,RandomForest,no,Non-imaging,99,low vs high,validation,0.9091678939617084,Age
199,RandomForest,no,Non-imaging,99,low vs high,generalization,0.928968145891926,Age
