Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Imaging & Non-imaging,18,low vs high,generalization,0.9365422507420212,Age
RandomForest,no,Imaging & Non-imaging,19,low vs high,validation,0.941375623663578,Age
RandomForest,no,Imaging & Non-imaging,19,low vs high,generalization,0.937422532432162,Age
RandomForest,no,Imaging & Non-imaging,20,low vs high,validation,0.9063435495367071,Age
RandomForest,no,Imaging & Non-imaging,20,low vs high,generalization,0.935752984759385,Age
RandomForest,no,Imaging & Non-imaging,21,low vs high,validation,0.9194444444444444,Age
RandomForest,no,Imaging & Non-imaging,21,low vs high,generalization,0.9335067726802806,Age
RandomForest,no,Imaging & Non-imaging,22,low vs high,validation,0.9345238095238094,Age
RandomForest,no,Imaging & Non-imaging,22,low vs high,generalization,0.92251749446958,Age
RandomForest,no,Imaging & Non-imaging,23,low vs high,validation,0.907051282051282,Age
RandomForest,no,Imaging & Non-imaging,23,low vs high,generalization,0.9198311415454051,Age
RandomForest,no,Imaging & Non-imaging,24,low vs high,validation,0.9495726495726496,Age
RandomForest,no,Imaging & Non-imaging,24,low vs high,generalization,0.9354493674755716,Age
RandomForest,no,Imaging & Non-imaging,25,low vs high,validation,0.9368351063829788,Age
RandomForest,no,Imaging & Non-imaging,25,low vs high,generalization,0.9347361795079872,Age
RandomForest,no,Imaging & Non-imaging,26,low vs high,validation,0.9283119658119658,Age
RandomForest,no,Imaging & Non-imaging,26,low vs high,generalization,0.9186472425714508,Age
RandomForest,no,Imaging & Non-imaging,27,low vs high,validation,0.9359347699475831,Age
RandomForest,no,Imaging & Non-imaging,27,low vs high,generalization,0.9354493674755716,Age
RandomForest,no,Imaging & Non-imaging,28,low vs high,validation,0.9193987115246958,Age
RandomForest,no,Imaging & Non-imaging,28,low vs high,generalization,0.9294999972208944,Age
RandomForest,no,Imaging & Non-imaging,29,low vs high,validation,0.9198832075202962,Age
RandomForest,no,Imaging & Non-imaging,29,low vs high,generalization,0.9369368837333392,Age
RandomForest,no,Imaging & Non-imaging,30,low vs high,validation,0.9193792308800229,Age
RandomForest,no,Imaging & Non-imaging,30,low vs high,generalization,0.9229576353146504,Age
RandomForest,no,Imaging & Non-imaging,31,low vs high,validation,0.9352780963302753,Age
RandomForest,no,Imaging & Non-imaging,31,low vs high,generalization,0.93522182820681,Age
RandomForest,no,Imaging & Non-imaging,32,low vs high,validation,0.9446779709318894,Age
RandomForest,no,Imaging & Non-imaging,32,low vs high,generalization,0.9224264787620752,Age
RandomForest,no,Imaging & Non-imaging,33,low vs high,validation,0.932430506058446,Age
RandomForest,no,Imaging & Non-imaging,33,low vs high,generalization,0.9210605483731116,Age
RandomForest,no,Imaging & Non-imaging,34,low vs high,validation,0.9341428571428572,Age
RandomForest,no,Imaging & Non-imaging,34,low vs high,generalization,0.9194365085540868,Age
RandomForest,no,Imaging & Non-imaging,35,low vs high,validation,0.9385155906895036,Age
RandomForest,no,Imaging & Non-imaging,35,low vs high,generalization,0.9197550635303534,Age
RandomForest,no,Imaging & Non-imaging,36,low vs high,validation,0.9211390236939766,Age
RandomForest,no,Imaging & Non-imaging,36,low vs high,generalization,0.9329756161277052,Age
RandomForest,no,Imaging & Non-imaging,37,low vs high,validation,0.9493589743589744,Age
RandomForest,no,Imaging & Non-imaging,37,low vs high,generalization,0.9206204075280412,Age
RandomForest,no,Imaging & Non-imaging,38,low vs high,validation,0.9098202824133504,Age
RandomForest,no,Imaging & Non-imaging,38,low vs high,generalization,0.9351308124993052,Age
RandomForest,no,Imaging & Non-imaging,39,low vs high,validation,0.932815616984896,Age
RandomForest,no,Imaging & Non-imaging,39,low vs high,generalization,0.9327630145513968,Age
RandomForest,no,Imaging & Non-imaging,40,low vs high,validation,0.9458707744972186,Age
RandomForest,no,Imaging & Non-imaging,40,low vs high,generalization,0.9239139950198428,Age
RandomForest,no,Imaging & Non-imaging,41,low vs high,validation,0.960541642399534,Age
RandomForest,no,Imaging & Non-imaging,41,low vs high,generalization,0.9360566020431984,Age
RandomForest,no,Imaging & Non-imaging,42,low vs high,validation,0.9249569336778638,Age
RandomForest,no,Imaging & Non-imaging,42,low vs high,generalization,0.9191328912702736,Age
RandomForest,no,Imaging & Non-imaging,43,low vs high,validation,0.9063435495367071,Age
RandomForest,no,Imaging & Non-imaging,43,low vs high,generalization,0.9334612648265282,Age
RandomForest,no,Imaging & Non-imaging,44,low vs high,validation,0.9198717948717948,Age
RandomForest,no,Imaging & Non-imaging,44,low vs high,generalization,0.9196036022766434,Age
RandomForest,no,Imaging & Non-imaging,45,low vs high,validation,0.9474734042553192,Age
RandomForest,no,Imaging & Non-imaging,45,low vs high,generalization,0.9336432962415376,Age
RandomForest,no,Imaging & Non-imaging,46,low vs high,validation,0.9120667522464698,Age
RandomForest,no,Imaging & Non-imaging,46,low vs high,generalization,0.9203622980979802,Age
RandomForest,no,Imaging & Non-imaging,47,low vs high,validation,0.9399000144906536,Age
RandomForest,no,Imaging & Non-imaging,47,low vs high,generalization,0.9346145936391832,Age
RandomForest,no,Imaging & Non-imaging,48,low vs high,validation,0.9236111111111109,Age
RandomForest,no,Imaging & Non-imaging,48,low vs high,generalization,0.9343415465166692,Age
RandomForest,no,Imaging & Non-imaging,49,low vs high,validation,0.9267000715819612,Age
RandomForest,no,Imaging & Non-imaging,49,low vs high,generalization,0.9332941711039721,Age
RandomForest,no,Imaging & Non-imaging,50,low vs high,validation,0.9436736161035228,Age
RandomForest,no,Imaging & Non-imaging,50,low vs high,generalization,0.9229576353146504,Age
RandomForest,no,Imaging & Non-imaging,51,low vs high,validation,0.9327487473156766,Age
RandomForest,no,Imaging & Non-imaging,51,low vs high,generalization,0.9250218159787452,Age
RandomForest,no,Imaging & Non-imaging,52,low vs high,validation,0.9323919554985024,Age
RandomForest,no,Imaging & Non-imaging,52,low vs high,generalization,0.9346906716542348,Age
RandomForest,no,Imaging & Non-imaging,53,low vs high,validation,0.9666071428571428,Age
RandomForest,no,Imaging & Non-imaging,53,low vs high,generalization,0.9221989394933134,Age
RandomForest,no,Imaging & Non-imaging,54,low vs high,validation,0.9099642857142856,Age
RandomForest,no,Imaging & Non-imaging,54,low vs high,generalization,0.9337343119490424,Age
RandomForest,no,Imaging & Non-imaging,55,low vs high,validation,0.927833214540271,Age
RandomForest,no,Imaging & Non-imaging,55,low vs high,generalization,0.9183891331413896,Age
RandomForest,no,Imaging & Non-imaging,56,low vs high,validation,0.9290396124251924,Age
RandomForest,no,Imaging & Non-imaging,56,low vs high,generalization,0.9317007014462466,Age
RandomForest,no,Imaging & Non-imaging,57,low vs high,validation,0.9454059829059829,Age
RandomForest,no,Imaging & Non-imaging,57,low vs high,generalization,0.9341595151016596,Age
RandomForest,no,Imaging & Non-imaging,58,low vs high,validation,0.9283321454027084,Age
RandomForest,no,Imaging & Non-imaging,58,low vs high,generalization,0.9211515640806162,Age
RandomForest,no,Imaging & Non-imaging,59,low vs high,validation,0.9306909403669724,Age
RandomForest,no,Imaging & Non-imaging,59,low vs high,generalization,0.9209389625043076,Age
RandomForest,no,Imaging & Non-imaging,60,low vs high,validation,0.9485974551764026,Age
RandomForest,no,Imaging & Non-imaging,60,low vs high,generalization,0.9218953222095,Age
RandomForest,no,Imaging & Non-imaging,61,low vs high,validation,0.9019957234497504,Age
RandomForest,no,Imaging & Non-imaging,61,low vs high,generalization,0.9322318579988216,Age
RandomForest,no,Imaging & Non-imaging,62,low vs high,validation,0.9114249037227212,Age
RandomForest,no,Imaging & Non-imaging,62,low vs high,generalization,0.9354493674755716,Age
RandomForest,no,Imaging & Non-imaging,63,low vs high,validation,0.9414363066400684,Age
RandomForest,no,Imaging & Non-imaging,63,low vs high,generalization,0.9354344297831184,Age
RandomForest,no,Imaging & Non-imaging,64,low vs high,validation,0.9490384615384616,Age
RandomForest,no,Imaging & Non-imaging,64,low vs high,generalization,0.9349182109229964,Age
RandomForest,no,Imaging & Non-imaging,65,low vs high,validation,0.9307873341891312,Age
RandomForest,no,Imaging & Non-imaging,65,low vs high,generalization,0.9352673360605622,Age
RandomForest,no,Imaging & Non-imaging,66,low vs high,validation,0.9034925160370636,Age
RandomForest,no,Imaging & Non-imaging,66,low vs high,generalization,0.9282705903931878,Age
RandomForest,no,Imaging & Non-imaging,67,low vs high,validation,0.9406272273699215,Age
RandomForest,no,Imaging & Non-imaging,67,low vs high,generalization,0.936011094189446,Age
RandomForest,no,Imaging & Non-imaging,68,low vs high,validation,0.9182900432900434,Age
RandomForest,no,Imaging & Non-imaging,68,low vs high,generalization,0.9336432962415376,Age
RandomForest,no,Imaging & Non-imaging,69,low vs high,validation,0.9410800797948132,Age
RandomForest,no,Imaging & Non-imaging,69,low vs high,generalization,0.9190873834165212,Age
RandomForest,no,Imaging & Non-imaging,70,low vs high,validation,0.8901369276850664,Age
RandomForest,no,Imaging & Non-imaging,70,low vs high,generalization,0.9291508720833288,Age
RandomForest,no,Imaging & Non-imaging,71,low vs high,validation,0.9146622497479476,Age
RandomForest,no,Imaging & Non-imaging,71,low vs high,generalization,0.9349637187767488,Age
RandomForest,no,Imaging & Non-imaging,72,low vs high,validation,0.9400143163922692,Age
RandomForest,no,Imaging & Non-imaging,72,low vs high,generalization,0.9327175066976444,Age
RandomForest,no,Imaging & Non-imaging,73,low vs high,validation,0.9536034752884204,Age
RandomForest,no,Imaging & Non-imaging,73,low vs high,generalization,0.9351763203530574,Age
RandomForest,no,Imaging & Non-imaging,74,low vs high,validation,0.9618100128369704,Age
RandomForest,no,Imaging & Non-imaging,74,low vs high,generalization,0.9382117984147982,Age
RandomForest,no,Imaging & Non-imaging,75,low vs high,validation,0.9130637079455978,Age
RandomForest,no,Imaging & Non-imaging,75,low vs high,generalization,0.9339014056715986,Age
RandomForest,no,Imaging & Non-imaging,76,low vs high,validation,0.9275829589914506,Age
RandomForest,no,Imaging & Non-imaging,76,low vs high,generalization,0.9250218159787452,Age
RandomForest,no,Imaging & Non-imaging,77,low vs high,validation,0.9428468727534148,Age
RandomForest,no,Imaging & Non-imaging,77,low vs high,generalization,0.936269203619507,Age
RandomForest,no,Imaging & Non-imaging,78,low vs high,validation,0.9609162491052254,Age
RandomForest,no,Imaging & Non-imaging,78,low vs high,generalization,0.9336432962415376,Age
RandomForest,no,Imaging & Non-imaging,79,low vs high,validation,0.9103733257338272,Age
RandomForest,no,Imaging & Non-imaging,79,low vs high,generalization,0.93306663183521,Age
RandomForest,no,Imaging & Non-imaging,80,low vs high,validation,0.9271532846715328,Age
